DATA,CE_SECO,CMO_SECO,EA_SECO,GE_SECO,DM_SECO,PLD_SECO,MPI_SECO_50,MPC_SECO,LPI_SECO_50,LPC_SECO,
1/7/2012,"34,894.20",31.47,137678.00,"37,607.73","42,118.64",46.71,89.82,58.32,121.38,90.75,
1/14/2012,"36,101.74",8.2,145115.00,"38,600.76","43,049.16",29.28,78.33,43.38,123.25,89.38,
1/21/2012,"36,780.35",9.5,150465.00,"39,183.83","44,018.36",12.2,70.67,33.64,128.38,88.38,
1/28/2012,"36,266.31",12.91,153595.00,"38,921.75","44,896.02",12.2,65.00,32.53,123.63,87.63,
2/4/2012,"39,173.61",38.81,153962.00,"40,420.75","47,404.00",15.62,66.17,37.21,117.75,87.13,
2/11/2012,"37,700.82",58.02,157037.00,"39,287.78","44,438.66",36.88,77.83,50.72,116.63,86.63,
2/18/2012,"35,688.13",64.98,159190.00,"35,615.55","45,362.73",55.13,94.67,66.48,116.88,87.00,
2/25/2012,"39,449.33",72.01,160091.00,"39,388.36","47,463.32",62.77,101.33,73.16,118.25,88.00,
3/3/2012,"39,092.50",101.77,158496.00,"38,819.14","46,364.05",67.55,110.83,80.80,126.13,94.13,
3/10/2012,"38,525.21",140.75,156975.00,"39,016.66","45,963.13",97.15,150.00,117.84,137.13,103.50,
3/17/2012,"37,497.53",147.23,157030.00,"38,252.86","46,132.01",137.24,171.83,144.07,139.25,106.50,
3/24/2012,"37,872.36",138.89,156985.00,"38,877.14","45,799.42",140.63,177.33,149.27,139.13,106.88,
3/31/2012,"36,621.89",191.57,156566.00,"39,127.30","44,978.03",132.55,173.59,142.76,136.50,108.25,
4/7/2012,"37,432.71",197.54,155338.00,"40,135.89","45,109.81",185.65,211.47,180.97,136.63,106.38,
4/14/2012,"37,226.54",207.66,153297.00,"40,574.84","44,664.88",192.04,246.00,216.00,135.38,105.13,
4/21/2012,"36,125.11",196.48,151869.00,"39,759.08","44,906.27",202.08,249.05,220.08,136.50,104.94,
4/28/2012,"33,828.84",191.6,152507.00,"37,407.89","43,437.88",191.6,240.62,209.68,135.25,104.13,
5/5/2012,"34,712.60",180.29,151005.00,"38,921.18","43,332.76",189.07,227.50,193.92,133.25,103.13,
5/12/2012,"34,362.09",172.55,149332.00,"39,583.74","43,417.61",179.96,217.07,182.02,132.13,100.88,
5/19/2012,"33,606.22",191.86,147017.00,"39,827.64","43,231.96",170.51,206.95,179.00,131.38,99.75,
5/26/2012,"34,451.51",178.29,144508.00,"40,050.96","43,816.25",190.84,221.10,189.50,133.00,102.00,
6/2/2012,"31,767.45",146.82,144324.00,"36,442.90","43,548.15",177.28,217.21,175.99,136.25,104.12,
6/9/2012,"31,668.49",148.47,144366.00,"35,367.67","42,414.87",146.75,194.61,155.20,134.13,101.45,
6/16/2012,"32,928.81",102.62,144646.00,"35,034.17","43,979.21",147.83,176.80,139.05,132.38,98.38,
6/23/2012,"33,210.21",77.38,145185.00,"34,976.72","43,588.16",102.87,150.73,116.67,130.90,94.85,
6/30/2012,"33,300.53",56.58,142775.00,"35,860.85","43,106.66",76.95,128.76,94.02,129.15,94.39,
7/7/2012,"32,343.47",95.52,140442.00,"35,561.14","42,853.79",56.3,114.33,80.06,126.58,92.48,
7/14/2012,"31,890.13",107.04,138122.00,"35,732.54","42,054.52",95,132.00,95.33,125.82,93.40,
7/21/2012,"32,548.18",104.41,135411.00,"36,167.02","43,424.04",106.43,138.89,106.00,129.36,94.11,
7/28/2012,"34,822.96",89.22,132304.00,"34,916.82","43,150.87",103.86,141.63,105.55,128.42,92.45,
8/4/2012,"34,703.07",107.61,128829.00,"34,868.95","43,178.93",88.35,137.19,103.32,127.39,93.27,
8/11/2012,"34,927.28",117.48,124511.00,"36,442.37","43,299.43",106.59,140.20,109.00,128.88,94.67,
8/18/2012,"34,906.90",129.94,119898.00,"37,585.10","43,454.61",116.3,142.15,108.37,129.49,94.71,
8/25/2012,"34,588.60",138.81,115108.00,"37,943.39","43,081.31",128.76,157.79,125.00,130.48,93.57,
9/1/2012,"34,606.48",175.66,110476.00,"37,612.78","43,388.89",137.76,162.77,132.23,130.72,94.64,
9/8/2012,"36,566.85",182.23,105618.00,"38,115.96","44,392.44",173.95,159.44,125.96,131.72,100.02,
9/15/2012,"37,545.98",190.65,100648.00,"38,583.70","45,631.74",181.4,166.95,135.97,132.18,102.15,
9/22/2012,"34,687.03",188.5,97024.00,"38,468.68","43,499.27",190.19,166.34,132.03,131.01,101.02,
9/29/2012,"36,189.37",178.99,91886.00,"39,454.22","44,675.72",187.45,159.17,127.60,129.58,102.70,
10/6/2012,"36,541.55",242.37,86848.00,"39,179.92","44,853.87",180.51,151.40,118.57,133.14,101.98,
10/13/2012,"35,316.36",322.02,82228.00,"39,703.80","43,341.95",243.09,172.81,146.26,129.53,102.32,
